ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [72/800] f104_crm_eval_group_0071 B z -13.528 (pess -13.454) -> G abstain | valid 17/17 | 2.71s (cem 0.38 refine 2.26 [60 steps] finals 0.06)
  [73/800] f104_crm_eval_group_0072 B z -13.236 (pess -12.309) -> G z -13.493 (pess -13.286) gain 0.977 from round0/anchor step 51 | valid 17/17 | 2.60s (cem 0.37 refine 2.17 [60 steps] finals 0.06)
  [74/800] f104_crm_eval_group_0073 B z -12.629 (pess -12.031) -> G z -13.008 (pess -12.727) gain 0.696 from round0/sample step 60 | valid 17/17 | 2.59s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [75/800] f104_crm_eval_group_0074 B z -13.348 (pess -12.978) -> G abstain | valid 17/17 | 2.59s (cem 0.35 refine 2.17 [60 steps] finals 0.06)
  [76/800] f104_crm_eval_group_0075 B z -13.417 (pess -13.025) -> G z -13.594 (pess -13.529) gain 0.503 from B/sample step 44 | valid 17/17 | 2.60s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [77/800] f104_crm_eval_group_0076 B z -13.457 (pess -13.233) -> G abstain | valid 17/17 | 2.60s (cem 0.36 refine 2.17 [60 steps] finals 0.06)
  [78/800] f104_crm_eval_group_0077 B z -13.372 (pess -13.150) -> G abstain | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [79/800] f104_crm_eval_group_0078 B z -13.034 (pess -12.085) -> G z -13.138 (pess -12.901) gain 0.817 from B/sample step 14 | valid 17/17 | 2.60s (cem 0.36 refine 2.17 [60 steps] finals 0.06)
  [80/800] f104_crm_eval_group_0079 B z -13.333 (pess -12.898) -> G z -13.469 (pess -13.429) gain 0.531 from round0/anchor step 54 | valid 17/17 | 2.61s (cem 0.35 refine 2.19 [60 steps] finals 0.05)
  [81/800] f104_crm_eval_group_0080 B z -13.537 (pess -13.342) -> G abstain | valid 17/17 | 2.62s (cem 0.35 refine 2.21 [60 steps] finals 0.05)
  [82/800] f104_crm_eval_group_0081 B z -13.697 (pess -13.634) -> G abstain | valid 17/17 | 2.60s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [83/800] f104_crm_eval_group_0082 B z -13.212 (pess -12.524) -> G z -13.429 (pess -13.331) gain 0.808 from round0/sample step 60 | valid 17/17 | 2.60s (cem 0.36 refine 2.18 [60 steps] finals 0.05)
  [84/800] f104_crm_eval_group_0083 B z -11.093 (pess -9.646) -> G z -12.660 (pess -12.522) gain 2.876 from B/sample step 53 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [85/800] f104_crm_eval_group_0084 B z -12.685 (pess -12.392) -> G z -13.270 (pess -13.118) gain 0.726 from B/sample step 60 | valid 17/17 | 2.59s (cem 0.36 refine 2.17 [60 steps] finals 0.06)
  [86/800] f104_crm_eval_group_0085 B z -12.877 (pess -12.342) -> G z -13.339 (pess -12.891) gain 0.548 from B/sample step 52 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [87/800] f104_crm_eval_group_0086 B z -13.116 (pess -12.868) -> G z -13.299 (pess -13.230) gain 0.363 from round0/sample step 44 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [88/800] f104_crm_eval_group_0087 B z -12.787 (pess -11.346) -> G z -12.842 (pess -12.420) gain 1.074 from round0/anchor step 60 | valid 17/17 | 2.59s (cem 0.36 refine 2.17 [60 steps] finals 0.05)
  [89/800] f104_crm_eval_group_0088 B z -13.477 (pess -13.275) -> G abstain | valid 17/17 | 2.60s (cem 0.37 refine 2.16 [60 steps] finals 0.05)
  [90/800] f104_crm_eval_group_0089 B z -13.105 (pess -12.267) -> G z -13.327 (pess -13.111) gain 0.845 from B/mean step 31 | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
