ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [73/800] f104_crm_eval_group_0072 B z -7.761 (pess -7.513) -> G abstain | valid 17/17 | 3.42s (cem 0.38 refine 2.98 [60 steps] finals 0.05)
  [74/800] f104_crm_eval_group_0073 B z -7.006 (pess -5.546) -> G z -7.578 (pess -7.203) gain 1.660 from B/sample step 44 | valid 17/17 | 3.39s (cem 0.35 refine 2.98 [60 steps] finals 0.05)
  [75/800] f104_crm_eval_group_0074 B z -8.212 (pess -7.874) -> G abstain | valid 17/17 | 3.37s (cem 0.36 refine 2.95 [60 steps] finals 0.05)
  [76/800] f104_crm_eval_group_0075 B z -7.736 (pess -7.464) -> G z -7.873 (pess -7.793) gain 0.329 from round0/sample step 30 | valid 17/17 | 3.44s (cem 0.37 refine 3.01 [60 steps] finals 0.05)
  [77/800] f104_crm_eval_group_0076 B z -8.154 (pess -7.841) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [78/800] f104_crm_eval_group_0077 B z -8.180 (pess -7.874) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [79/800] f104_crm_eval_group_0078 B z -8.078 (pess -7.835) -> G abstain | valid 17/17 | 3.42s (cem 0.37 refine 2.99 [60 steps] finals 0.05)
  [80/800] f104_crm_eval_group_0079 B z -8.262 (pess -7.936) -> G abstain | valid 17/17 | 3.43s (cem 0.37 refine 2.99 [60 steps] finals 0.05)
  [81/800] f104_crm_eval_group_0080 B z -8.264 (pess -7.918) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [82/800] f104_crm_eval_group_0081 B z -8.253 (pess -7.924) -> G abstain | valid 17/17 | 3.36s (cem 0.36 refine 2.93 [60 steps] finals 0.05)
  [83/800] f104_crm_eval_group_0082 B z -7.918 (pess -7.630) -> G abstain | valid 17/17 | 3.43s (cem 0.36 refine 3.00 [60 steps] finals 0.05)
  [84/800] f104_crm_eval_group_0083 B z -5.495 (pess -4.508) -> G z -6.393 (pess -6.085) gain 1.574 from B/sample step 13 | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
