ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a1_haux_gru_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [93/800] f104_crm_eval_group_0092 B z -7.725 (pess -6.217) -> G z -8.884 (pess -7.879) gain 1.664 from B/mean step 41 | valid 17/17 | 2.55s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [94/800] f104_crm_eval_group_0093 B z -8.616 (pess -7.420) -> G z -10.514 (pess -9.551) gain 2.130 from B/sample step 54 | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [95/800] f104_crm_eval_group_0094 B z -12.753 (pess -12.242) -> G abstain | valid 17/17 | 2.55s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [96/800] f104_crm_eval_group_0095 B z -11.421 (pess -7.675) -> G z -11.768 (pess -10.289) gain 2.604 from round0/sample step 51 | valid 17/17 | 2.55s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [97/800] f104_crm_eval_group_0096 B z -13.110 (pess -12.763) -> G abstain | valid 17/17 | 2.57s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [98/800] f104_crm_eval_group_0097 B z -12.680 (pess -11.836) -> G z -13.080 (pess -12.641) gain 0.805 from B/mean step 39 | valid 17/17 | 2.56s (cem 0.35 refine 2.14 [60 steps] finals 0.05)
  [99/800] f104_crm_eval_group_0098 B z -10.846 (pess -9.352) -> G z -12.456 (pess -11.934) gain 2.587 from round0/sample step 51 | valid 17/17 | 2.57s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [100/800] f104_crm_eval_group_0099 B z -13.054 (pess -12.714) -> G abstain | valid 17/17 | 2.54s (cem 0.34 refine 2.14 [60 steps] finals 0.05)
  [101/800] f104_crm_eval_group_0100 B z -12.766 (pess -12.367) -> G z -13.135 (pess -13.002) gain 0.638 from round0/sample step 60 | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [102/800] f104_crm_eval_group_0101 B z -12.922 (pess -12.052) -> G z -13.150 (pess -12.453) gain 0.401 from B/sample step 20 | valid 17/17 | 2.54s (cem 0.34 refine 2.13 [60 steps] finals 0.05)
  [103/800] f104_crm_eval_group_0102 B z -12.627 (pess -10.607) -> G z -12.780 (pess -12.371) gain 1.765 from round0/sample step 58 | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [104/800] f104_crm_eval_group_0103 B z -13.489 (pess -13.305) -> G abstain | valid 17/17 | 2.55s (cem 0.34 refine 2.15 [60 steps] finals 0.05)
  [105/800] f104_crm_eval_group_0104 B z -11.338 (pess -10.295) -> G z -12.807 (pess -12.413) gain 2.116 from round0/anchor step 55 | valid 17/17 | 2.59s (cem 0.36 refine 2.15 [60 steps] finals 0.06)
  [106/800] f104_crm_eval_group_0105 B z -12.992 (pess -12.011) -> G z -13.237 (pess -12.870) gain 0.861 from round0/sample step 47 | valid 17/17 | 2.54s (cem 0.35 refine 2.13 [60 steps] finals 0.05)
  [107/800] f104_crm_eval_group_0106 B z -13.181 (pess -12.778) -> G z -13.275 (pess -13.140) gain 0.362 from round0/sample step 55 | valid 17/17 | 2.55s (cem 0.35 refine 2.13 [60 steps] finals 0.05)
  [108/800] f104_crm_eval_group_0107 B z -13.043 (pess -12.523) -> G z -13.407 (pess -13.103) gain 0.580 from B/sample step 12 | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [109/800] f104_crm_eval_group_0108 B z -13.179 (pess -12.399) -> G z -13.356 (pess -13.256) gain 0.856 from round0/sample step 38 | valid 17/17 | 2.57s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [110/800] f104_crm_eval_group_0109 B z -11.851 (pess -10.922) -> G z -12.276 (pess -11.444) gain 0.523 from B/sample step 40 | valid 17/17 | 2.57s (cem 0.36 refine 2.15 [60 steps] finals 0.05)
  [111/800] f104_crm_eval_group_0110 B z -8.670 (pess -7.182) -> G z -12.457 (pess -11.733) gain 4.551 from round0/sample step 33 | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [112/800] f104_crm_eval_group_0111 B z -13.173 (pess -12.918) -> G abstain | valid 17/17 | 2.57s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [113/800] f104_crm_eval_group_0112 B z -13.386 (pess -13.260) -> G abstain | valid 17/17 | 2.57s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [114/800] f104_crm_eval_group_0113 B z -11.739 (pess -10.674) -> G z -12.005 (pess -11.289) gain 0.614 from B/sample step 3 | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [115/800] f104_crm_eval_group_0114 B z -10.965 (pess -9.615) -> G z -11.707 (pess -10.520) gain 0.905 from B/mean step 60 | valid 17/17 | 2.58s (cem 0.35 refine 2.17 [60 steps] finals 0.05)
  [116/800] f104_crm_eval_group_0115 B z -10.435 (pess -7.745) -> G z -13.198 (pess -12.723) gain 4.980 from round0/sample step 48 | valid 17/17 | 2.56s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [117/800] f104_crm_eval_group_0116 B z -12.549 (pess -11.591) -> G z -12.809 (pess -12.064) gain 0.473 from B/sample step 43 | valid 17/17 | 2.55s (cem 0.35 refine 2.15 [60 steps] finals 0.05)
  [118/800] f104_crm_eval_group_0117 B z -12.088 (pess -11.368) -> G z -13.001 (pess -12.644) gain 1.279 from round0/sample step 60 | valid 17/17 | 2.57s (cem 0.35 refine 2.15 [60 steps] finals 0.06)
  [119/800] f104_crm_eval_group_0118 B z -12.496 (pess -11.865) -> G z -13.245 (pess -12.223) gain 0.353 from B/sample step 56 | valid 17/17 | 2.60s (cem 0.37 refine 2.16 [60 steps] finals 0.06)
  [120/800] f104_crm_eval_group_0119 B z -9.692 (pess -8.348) -> G z -10.705 (pess -9.730) gain 1.383 from round0/anchor step 47 | valid 17/17 | 2.56s (cem 0.36 refine 2.14 [60 steps] finals 0.05)
  [121/800] f104_crm_eval_group_0120 B z -13.155 (pess -12.208) -> G z -13.178 (pess -12.966) gain 0.759 from round0/anchor step 49 | valid 17/17 | 2.58s (cem 0.37 refine 2.15 [60 steps] finals 0.05)
  [122/800] f104_crm_eval_group_0121 B z -11.804 (pess -10.449) -> G z -12.499 (pess -11.399) gain 0.948 from B/sample step 60 | valid 17/17 | 2.56s (cem 0.34 refine 2.15 [60 steps] finals 0.05)
  [123/800] f104_crm_eval_group_0122 B z -12.829 (pess -11.732) -> G z -13.176 (pess -12.437) gain 0.704 from B/sample step 25 | valid 17/17 | 2.28s (cem 0.36 refine 1.85 [60 steps] finals 0.05)
  [124/800] f104_crm_eval_group_0123 B z -12.149 (pess -10.545) -> G z -12.883 (pess -12.214) gain 1.659 from B/sample step 42 | valid 17/17 | 2.32s (cem 0.35 refine 1.91 [60 steps] finals 0.05)
  [125/800] f104_crm_eval_group_0124 B z -5.284 (pess -3.394) -> G z -10.376 (pess -8.549) gain 5.161 from round0/sample step 60 | valid 17/17 | 2.30s (cem 0.35 refine 1.88 [60 steps] finals 0.05)
